stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
臺北市立大直高級中學,2011/12/14 下午 05:01:00,座數：29，特優級：9，優等級：20，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區北安路420號,121.543019,25.079075
長春路派出所,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區長春路206號,121.536099,25.054615
丹堤咖啡雙連店,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：0，普通級：1，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區民生西路28號1樓,121.521743,25.057656
社子國小地下停車場,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區延平北路六段308號B1,121.502685,25.09
國立故宮博物院,2011/12/14 下午 05:01:00,座數：13，特優級：13，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市士林區至善路二段221號,121.5493597,25.0996875
東吳大學,2011/12/14 下午 05:01:00,座數：37，特優級：37，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區臨溪路70號,121.546597,25.094305
臺北市立啟智學校,2011/12/14 下午 05:01:00,座數：19，特優級：0，優等級：19，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區忠誠路二段207巷3號,121.536225,25.116617
臺北市私立華興高級中學,2011/12/14 下午 05:01:00,座數：8，特優級：0，優等級：8，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區仰德大道一段101號,121.538354,25.10478
臺北市私立衛理女子高級中學,2011/12/14 下午 05:01:00,座數：18，特優級：18，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區至善路二段321號,121.5569679,25.1047204
西雅圖咖啡忠誠店,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區天母東路57-1號,121.533518,25.118246
蘭州公園,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區蘭州街89巷前,121.515636,25.064295
台北轉運站,2011/12/14 下午 05:01:00,座數：11，特優級：0，優等級：11，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大同區市民大道一段209號,121.518569,25.048786
臺北市大同區雙蓮國民小學,2011/12/14 下午 05:01:00,座數：31，特優級：15，優等級：16，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區錦西街51號,121.51693,25.060332
臺北市立啟聰學校,2011/12/14 下午 05:01:00,座數：21，特優級：4，優等級：17，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區重慶北路三段320號,121.513615,25.075512
臺北市私立志仁高中職業進修學校,2011/12/14 下午 05:01:00,座數：6，特優級：3，優等級：3，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區南京西路64巷17號,121.518723,25.052047
大同4號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市大同區南京西路282巷6號旁,121.514684,25.053337
公有信維市場,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：0，普通級：2，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區信義路四段60之1號,121.545767,25.033137
附中公園停車場,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區復興南路一段340巷11號地下,121.54301,25.036041
淡江大學城區部,2011/12/14 下午 05:01:00,座數：18，特優級：0，優等級：18，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區金華街199巷5號,121.527909,25.031011
臺北市大安區仁愛國民小學,2011/12/14 下午 05:01:00,座數：17，特優級：0，優等級：17，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區安和路一段60號,121.552025,25.036358
臺北市大安區建安國民小學,2011/12/14 下午 05:01:00,座數：13，特優級：2，優等級：11，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區大安路二段99號,121.546224,25.029358
臺北市大安區銘傳國民小學,2011/12/14 下午 05:01:00,座數：23，特優級：10，優等級：13，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市大安區羅斯福路四段21號,121.535395,25.014044
臺北市大安區健康服務中心,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區辛亥路三段15號2樓,121.5439538,25.02146
台灣麥當勞台北復興2分公司,2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區復興南路二段273號1樓,121.543687,25.025483
大安31號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區臥龍街200巷6號邊,121.551352,25.017824
大安7號,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市大安區臨江街106之2號旁巷內,121.554785,25.029983
財團法人中心診所醫院,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區忠孝東路四段77號,121.547439,25.04177
臺北市立聯合醫院仁愛分院,2011/12/14 下午 05:01:00,座數：17，特優級：1，優等級：16，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市大安區仁愛路四段10號,121.545224,25.037512
長安國小地下停車場,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區吉林路15號地下1樓,121.530356,25.049764
慧日講堂,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區朱崙街36號,121.5413763,25.0499277
臺北市立新興國民中學,2011/12/14 下午 05:01:00,座數：20，特優級：0，優等級：20，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區林森北路511號,121.525916,25.062054
臺北市私立大同高級中學,2011/12/14 下午 05:01:00,座數：4，特優級：0，優等級：4，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區中山北路三段40號,121.522206,25.067015
中山戶政事務所,2011/12/14 下午 05:01:00,座數：2，特優級：2，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區松江路367號2樓,121.533556,25.064455
中山區公所,2011/12/14 下午 05:01:00,座數：6，特優級：6，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:28:00,臺北市中山區松江路367號1樓,121.533556,25.064455
台北華國飯店,2011/12/14 下午 05:01:00,座數：4，特優級：4，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:28:00,臺北市中山區林森北路600號2樓,121.525563,25.065946
天母公園,2011/12/14 下午 05:01:00,座數：1，特優級：0，優等級：1，普通級：0，加強級：0,2011/12/28 上午 06:26:00,臺北市士林區中山北路七段219號邊,121.530071,25.125855
特力和樂,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：2，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區基河路258號,121.520569,25.092177
特力屋士林購物中心,2011/12/14 下午 05:01:00,座數：5，特優級：1，優等級：4，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市士林區基河路258號,121.520569,25.092177
圓山保齡球館,2011/12/14 下午 05:01:00,座數：4，特優級：0，優等級：0，普通級：4，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區中山北路五段6號,121.525626,25.082348
臺北市立體育學院,2011/12/14 下午 05:01:00,座數：22，特優級：7，優等級：15，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區忠誠路二段207巷6號,121.536395,25.1161
臺北市私立泰北高級中學,2011/12/14 下午 05:01:00,座數：30，特優級：0，優等級：30，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區福林路240號,121.534168,25.097424
芝山岩派出所,2011/12/14 下午 05:01:00,座數：1，特優級：1，優等級：0，普通級：0，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區仰德大道一段16號,121.537886,25.101122
天母美麗華影城,2011/12/14 下午 05:01:00,座數：6，特優級：6，優等級：0，普通級：0，加強級：0，無障礙設施,2011/12/28 上午 06:27:00,臺北市士林區忠誠路二段202號4樓,121.534193,25.117139
陽明戲院,2011/12/14 下午 05:01:00,座數：2，特優級：0，優等級：1，普通級：1，加強級：0,2011/12/28 上午 06:27:00,臺北市士林區文林路113號,121.526124,25.088208
公有永樂市場,2011/12/14 下午 05:01:00,座數：14，特優級：0，優等級：11，普通級：3，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區迪化街一段21號,121.510334,25.054812
臺北市立明倫高級中學,2011/12/14 下午 05:01:00,座數：15，特優級：0，優等級：13，普通級：2，加強級：0,2011/12/28 上午 06:27:00,臺北市大同區承德路三段336號,121.519401,25.075563
